3Ltr,Company,Country,Telephony
CGH,"AIR GUILIN CO., LTD.",CHINA,WELKIN
CGL,CRAFT AVIA CENTER SAPI DE CV,MEXICO,AVIA COPTER
CGM,"TRABAJOS AEREOS Y PUBLICIDAD ANDALUZA, S.L.",SPAIN,
CGN,"AIR CHANGAN CO., LTD.",CHINA,CHANG AN
CGO,"CHICAGO AIR, INC. (CHICAGO, IL)",UNITED STATES,WILD ONION
CGP,CAPITAL AIRCRAFT GROUP,BELGIUM,CAPGROUP
CGR,COMPAGNIA GENERALE RIPRESEAEREE S.P.A.,ITALY,COMPRIP
CGU,CHINGUETTI AIRLINES,MAURITANIA,CHINGUETTI
CGV,AERO CLUBE DO ALGARVE,PORTUGAL,CLUBE ALGARVE
CGZ,COLORFUL GUIZHOU AIRLINES CO. LTD.,CHINA,COLORFUL
CHA,"CENTRAL FLYING SERVICE, INC. (LITTLE ROCK, AR)",UNITED STATES,CHARTER CENTRAL
CHB,"CHINA WEST AIR CO., LTD",CHINA,WEST CHINA
CHC,CHINA OCEAN HELICOPTER CORP. - COHC,CHINA,CHINA HELICOPTER
CHD,"223 FLIGHT UNIT, STATE AIRLINE",RUSSIAN FEDERATION,CHKALOVSK-AVIA
CHE,"TOP FLIGHT AIR SERVICE, INC. (TAMPA, FL)",UNITED STATES,CHECK AIR
CHF,"TIANJIN JEPPESEN INTERNATIONAL FLIGHT COLLEGE CO., LTD",CHINA,CHAO FEI
CHG,CHALLENGE AIRLINES (BE) S.A.,BELGIUM,CHALLENGE
CHH,"HAINAN AIRLINES HOLDING CO., LTD.",CHINA,HAINAN
CHI,"COUGAR HELICOPTES, INC.",CANADA,COUGAR
CHJ,"STAR JET CO., LTD",CHINA,SHINING
CHK,"FLYING BOAT, INC. D/B/A CHALKS INTERNATIONAL AIRLINES (FT. LAUDERDALE, FL)",UNITED STATES,CHALKS
CHL,CRANFIELD HELICOPTERS LTD,UNITED KINGDOM,ULTRA
CHM,CHEMECH AVIATION (PVT) LIMITED,PAKISTAN,
CHN,"CHANNEL ISLAND AVIATION (OXNARD, CA)",UNITED STATES,CHANNEL
CHO,CHROME AIR SERVICES LTD,NIGERIA,CHROME AIR
CHQ,"CHAUTAUQUA AIRLINES (JAMESTOWN, NY)",UNITED STATES,CHAUTAUQUA
CHR,"CHAIRMAN AIRMOTIVE II, LLC",UNITED STATES,CHAIRMAN
CHS,CHINGGIS AIRWAYS,MONGOLIA,
CHU,"CHURCH AIRCRAFT LTD (DENVER, CO)",UNITED STATES,CHURCHAIR
CHV,"AIR CHARTER PROFESSIONALS, INC. (OPA LOCKA, FL)",UNITED STATES,CHARTAIR
CHX,"HUBSCHRAUBER IM LUFTRETTUNGSDIENST, BERLIN",GERMANY,CHRISTOPH
CHZ,CHALLENGE AIR CARGO LIMITED,MALTA,CARGO ROCK
CIA,TRANSPORT AUTHORITY,SLOVAKIA,CALIMERA
CIC,"SACAICA, C.A.",VENEZUELA,CANAIMA
CIE,CZECH GOVERNMENT FLYING SERVICE,CZECHIA,CZECHIA
CIG,SIRIUS-AERO,RUSSIAN FEDERATION,SIRIUS AERO
CIJ,C&I CORPORATION,ROMANIA,NIKOLAUS
CIL,CIAF LEASING,EGYPT,CIAF LEASING
CIM,CIMBER A/S,DENMARK,CIMBER
CIN,SAFFRON AVIATION (PVT) LTD,SRI LANKA,CINNAMON
CIO,IL CIOCCO INTERNATIONAL TRAVEL SERVICE SRL,ITALY,CIOCCO
CIR,"ARCTIC CIRCLE AIR SERVICE, INC. (FAIRBANKS, AK)",UNITED STATES,AIR ARCTIC
CIS,CAT ISLAND AIR,BAHAMAS,CAT ISLAND
CIT,"ZANESVILLE AVIATION (ZANESVILLE, OH)",UNITED STATES,ZANE
CIV,CIVIL AVIATION AUTHORITY OF NEW ZEALAND,NEW ZEALAND,CIVAIR
CIW,AFRIK AIRWAYS,COTE D IVOIRE,
CIX,CITY CONNEXION AIRLINES,BURUNDI,CONNEXION
CJC,"COLGAN AIR (MANASSAS, VA)",UNITED STATES,COLGAN
CJE,"CUSTOM JET CHARTERS, LLC (WEST PALM BEACH, FL)",UNITED STATES,CUSTOM JET
CJI,"CORPORATE JETS, INC. (WEST MIFFLIN, PA)",UNITED STATES,SEA JET
CJL,CANADA JETLINES OPERATIONS LTD.,CANADA,JETBUS
CJM,CORPORATE JET MANAGEMENT LTD,UNITED KINGDOM,CHECKMARK
CJR,CAVERTON HELICOPTERS LTD,NIGERIA,CAVERTON AIR
CJS,"COMMONWEALTH JET SERVICE, INC. (SANDSTON, VA)",UNITED STATES,COMMONWEALTH
CJT,CARGOJET AIRWAYS LTD,CANADA,CARGOJET
CJX,JIANGXI AIR COMPANY LIMITED,CHINA,AIR CRANE
CJZ,"CALIBER JET CHARTER, LLC (WESTLAKE, OH)",UNITED STATES,CALIBER JET
CKA,"COOK INLET AVIATION, INC. (HOMER, AK)",UNITED STATES,COOK-AIR
CKC,"CKC SERVICES, INC. (NEWPORT BEACH, CA)",UNITED STATES,
CKE,"CORPORATE AVIATION SERVICES, INC. (TULSA, OK)",UNITED STATES,CHECKMATE
CKJ,PEOPLE S LIBERATION ARMY AIR FORCE,CHINA,PLAAF
CKK,CHINA CARGO AIRLINES LTD,CHINA,CARGO KING
CKL,CRONOS AIRLINES BENIN,BENIN,SPACE
CKM,"RIVAFLECHA, S.L. (BKS AIR)",SPAIN,RIVAFLECHA
CKR,CROWN AIR SYSTEMS,UNITED STATES,CROWN AIR
CKS,"KALITTA AIR, LLC (YPSILANTI, MI)",UNITED STATES,CONNIE
CLB,COBHAM FLIGHT INSPECTION LTD,UNITED KINGDOM,CALIBRATOR
CLC,SCAMBESCO CC TRADING AS CLOUD 9 AIR CHARTERS,SOUTH AFRICA,MOTHERSHIP
CLD,CLOWES ESTATES LTD,UNITED KINGDOM,CLOWES
CLE,"COLEMILL ENTERPRISES (NASHVILLE, TN)",UNITED STATES,COLEMILL
CLF,CENTRELINE AV,UNITED KINGDOM,CLIFTON
CLG,CHALAIR AVIATION,FRANCE,CHALLAIR
CLH,"LUFTHANSA CITYLINE GMBH, KOELN",GERMANY,HANSALINE
CLI,"CLICKAIR, S.A.",SPAIN,CLICKJET
CLJ,CELLO AVIATION LTD,UNITED KINGDOM,CELLOJET
CLK,"CLARK AVIATION CORP. (NEW CUMBERLAND, PA)",UNITED STATES,CLARKAIR
CLL,"AEROVIAS CASTILLO, S.A.",MEXICO,AEROCASTILLO
CLM,CARGO LINK (CARIBBEAN) INC.,BARBADOS,CARGO LINK
CLN,CLEOPATRA AVIATION,EGYPT,CLEOPATRA
CLP,AERO CLUB DE PORTUGAL,PORTUGAL,CLUB PORTUGAL
CLR,"TRANS AMERICA (ENGLEWOOD, CO)",UNITED STATES,CLINTON AIRWAYS
CLT,CLUB AEROCELTA DE VUELO CON MOTOR,SPAIN,
CLU,CARGOLOGICAIR LTD,UNITED KINGDOM,FIREBIRD
CLV,LOM PRAHA FLYING SCHOOL,CZECHIA,AEROTRAINING
CLW,NOWY PRZEWOZNIK SP. Z.O.O.,POLAND,CENTRALWINGS
CLX,CARGOLUX AIRLINES INTERNATIONAL S.A.,LUXEMBOURG,CARGOLUX
CLY,"CLAY LACY AVIATION (SEATTLE, WA)",UNITED STATES,CLAY-LACY
CLZ,CLOUD 9 AIR CHARTERS,SOUTH AFRICA,CLOUDLINE
CMA,CMA CGM AIR CARGO,FRANCE,FRENCH CARGO
CMB,US TRANSPORTATION COMMAND,UNITED STATES,CAMBER
CMC,CMC ELECTRONICS INC.,CANADA,ESTERLINE
CMD,CALSTAR,UNITED STATES,CALSTAR MED
CME,COMMERCE BANK,UNITED STATES,COMMERCE BANK
CMF,"AIR CARE ALLIANCE (STORRS, CT)",UNITED STATES,COMPASSION
CMG,COMET AIRLINES LIMITED,NIGERIA,SUNSPY
CMH,COMMAIR AVIATION LIMITED,UNITED KINGDOM,COMMODORE
CMI,"CONTINENTAL MICRONESIA, INC. (TAMUNING, GUAM)",UNITED STATES,AIR MIKE
CMN,"ECKLES AIRCRAFT CO. (HOLDENVILLE, OK)",UNITED STATES,CIMMARON AIRE
CMO,KGFM TRANSPORT AND LOGISTICS (PTY) LTD,SOUTH AFRICA,CAMELOT
CMP,"COMPANIA PANAMENA DE AVIACION, S.A.",PANAMA,COPA
CMR,CAM AIR MANAGEMENT LTD,UNITED KINGDOM,CAMEO
CMS,CAMEX AIRLINES LLC,GEORGIA,CAMEX
CMT,"CASEMENT AVIATION (PLAINESVILLE, OH)",UNITED STATES,CASEMENT
CMV,CALIMA DE AVIACION S.L.,SPAIN,CALIMA
CMX,"EL CAMINANTE TAXI AEREO, S.A. DE C.V.",MEXICO,EL CAMINANTE
CMZ,"CM STAIR, COMPAGNIE MAURITANIENNE DES SERVICES ET TRANSPORT AERIEN",MAURITANIA,CEE-EM STAIRS
CNA,CANAVIA LINEAS AEREAS S.L.,SPAIN,CANAVIA
CNB,CITYLINE HUNGARY LTD,HUNGARY,CITYHUN
CNC,"CORPORACION AEREO CENCOR, S.A. DE C.V.",MEXICO,CENCOR
CND,CORENDON DUTCH AIRLINES B.V.,NETHERLANDS,DUTCH CORENDON
CNF,CANARY FLY S.L.,SPAIN,CANARY
CNG,"COASTAL AIRWAYS (GULFPORT, MS)",UNITED STATES,SID-AIR
CNI,EMPRESA NACIONAL DE SERVICIOS AEREOS,CUBA,SERAER
CNK,SUNWEST AVIATION LTD,CANADA,CHINOOK
CNL,"CENTENNIAL AIRLINES, INC. (LARAMIE, WY)",UNITED STATES,WYO-AIR
CNM,AIR CHINA INNER MONGOLIA,CHINA,MENGYUAN
CNO,SAS SCANDINAVIAN AIRLINES NORGE AS,NORWAY,SCANOR
CNR,"CONDOR AERO SERVICES, INC. (CULLMAN, AL)",UNITED STATES,CONAERO
CNS,"COBALT AIR, LLC (PORTSMOUTH NH)",UNITED STATES,CHRONOS
CNT,CONNECT LINHAS AEREAS S.A.,BRAZIL,CONNECT CARGO
CNU,AIR CONSUL,SPAIN,AIR CONSUL
CNV,"US NAVY AIR LOGISTICS OFFICE (NEW ORLEANS, LA)",UNITED STATES,CONVOY
CNW,"NORTH-WESTERN CARGO INTERNATIONAL AIRLINES CO., LTD",CHINA,TANG
COB,COBRA JET AVIATION,EGYPT,COBRA JET
COI,"COINSPECTRA AVIACION, C.A.",VENEZUELA,COAVIATION
COJ,CORAL JET,BERMUDA,CORAL JET
COL,SC AVIATION INC.,UNITED STATES,COLONY
COM,"COMAIR, INC. (CINCINNATI, OH)",UNITED STATES,COMAIR
CON,CONOCOPHILLIPS CO.,UNITED STATES,CONOCO
COO,"COVE PARTNERS, LLC.",UNITED STATES,COVE
COP,"COPPER STATE AIR SERVICE, INC. (MESA, AZ)",UNITED STATES,COPPER STATE
COT,"COSTA AIRLINES, C.A.",VENEZUELA,MARA
COV,SIGNCHOOSE LTD T/A HELICENTRE COVENTRY,UNITED KINGDOM,HELICENTRE
COW,COWI A/S,DENMARK,COWI
COX,"COX AVIACION, S.A. DE C.V.",MEXICO,COX AVIACION
COY,COYNE AVIATION LIMITED,UNITED KINGDOM,COYNE AIR
COZ,COSMIC AIR PVT. LTD,NEPAL,COSMIC AIR
CPA,CATHAY PACIFIC AIRWAYS LTD.,CHINA,CATHAY
CPD,CAPITAL AIRLINES LIMITED,KENYA,CAPITAL DELTA
CPF,"U S AIR FORCE AUXILIARY, CIVIL AIR PATROL (MAXWELL AFB, AL)",UNITED STATES,CAP-FLIGHT
CPG,"CORPORACION AEROANGELES, S.A. DE C.V.",MEXICO,CORPORANG
CPI,COMPAGNIA AERONAUTICA ITALIANA S.P.A.,ITALY,AIRCAI
CPJ,PHENIX JET CAYMAN SEZC,CAYMAN ISLANDS,DRAGON EYE
CPK,FEDERAL STATE BUDGETARY ORGANIZATION GAGARIN RESEARCH & TEST COSMONAUT TRAINING CENTER,RUSSIAN FEDERATION,CEDAR
CPL,"CHAPARRAL AIRLINES (ABILENE, TX)",UNITED STATES,CHAPARRAL
CPM,COMPAGNIE MAURITANIENNE DES TRANSPORTS,MAURITANIA,
CPN,CASPIAN AIRLINES,IRAN (ISLAMIC REPUBLIC OF),CASPIAN
CPO,"CORPORATE AIRCRAFT COMPANY (GARDNER, KS)",UNITED STATES,MOKAN
CPP,COPTERPLUS FINLAND OY,FINLAND,COPTERPLUS
CPR,AEROLINEA DEL CARIBE-PERU S.A.C.,PERU,CARIBE-PERU
CPS,"CASS PROFESSIONAL SERVICES, CORP.",UNITED STATES,SWIFT BIRD
CPT,"CORPORATE AIR (BILLINGS, MT)",UNITED STATES,AIR SPUR
CPU,AIR SUPPORT A/S,DENMARK,
CPV,AIR CORPORATE S.R.L.,ITALY,AIRCORPORATE
CPX,"CAPITAL AIR SERVICE, INC. (MANHATTAN, KS)",UNITED STATES,CAPAIR
CQH,"SPRING AIRLINES CO., LTD",CHINA,AIR SPRING
CQN,"CHONG QING AIRLINES CO., LTD",CHINA,CHONG QING
CRA,CIMAS EMERGENCY AIR RESCUE SERVICE,ZIMBABWE,CIMAS
CRB,KUYAKE AVIATION INC D/B/A CARIBBEAN COMMUTER AIRWAYS,SURINAME,CARIBBEAN COMMUTER
CRC,CAMEROON AIRLINES CORPORATION (CAMAIR-CO),CAMEROON,CAMAIRCO
CRD,AIR CORRIDOR,MOZAMBIQUE,AIR CORRIDOR
CRE,"JET OUT, LLC",UNITED STATES,CREAM CITY
CRF,CROIX ROUGE FRANCAISE,FRANCE,CROIX ROUGE
CRJ,AIR CRUZAL,ANGOLA,AIR CRUZAL
CRK,HONG KONG AIRLINES LTD,CHINA,BAUHINIA
CRL,CORSAIR,FRANCE,CORSAIR
CRM,"COMMANDER MEXICANA, S.A. DE C.V.",MEXICO,COMMANDERMEX
CRN,CARSON AIR LTD.,CANADA,CARSON
CRO,"CROWN AIRWAYS, INC. (DUBOIS, PA)",UNITED STATES,CROWN AIRWAYS
CRP,"AEROTRANSPORTES CORPORATIVOS, S.A. DE C.V.",MEXICO,AEROTRANSCORP
CRQ,AIR CREEBEC,CANADA,CREE
CRR,CANADIAN PACIFIC RAILWAY,CANADA,RAILCAR
CRS,"COMERCIAL AEREA, S.A. DE C.V.",MEXICO,COMERCIAL AEREA
CRT,CARIBINTAIR S.A.,HAITI,CARIBINTAIR
CRU,"SERVICIOS STARLIT CARUSO, S.A. DE C.V.",MEXICO,VIC-STARLIT
CRV,ACROPOLIS AVIATION LTD,UNITED KINGDOM,ACROPOLIS
CRW,CENTRAL AMERICAN AIRWAYS,HONDURAS,CENTRAL AMERICAN
CRX,CROSS AVIATION LTD,UNITED KINGDOM,CROSSAIR
CRY,SOUTH CERNEY,UNITED KINGDOM,CERNEY
CSA,CZECH AIRLINES J.S.C.,CZECHIA,CSA-LINES
CSB,"21-AIR, LLC",UNITED STATES,CARGO SOUTH
CSC,SI CHUAN AIRLINES,CHINA,SI CHUAN
CSD,"COURIER SERVICES, INC. (TEMPE, AZ)",UNITED STATES,DELIVERY
CSE,CORAL SEAS EXPRESS LIMITED,SOLOMON ISLANDS,
CSF,CLASAIR,UNITED KINGDOM,CALEDONIAN
CSG,CHINA SOUTHERN AIRLINES CARGO,CHINA,SOUTHERN CARGO
CSH,SHANGHAI AIRLINES,CHINA,SHANGHAI AIR
CSI,"CSI AVIATION, INC.",UNITED STATES,SANDIA
CSJ,"CASTLE AVIATION, INC. (RAVENNA, OH)",UNITED STATES,CASTLE
CSK,"FLIGHTCRAFT, INC. (PORTLAND, OR)",UNITED STATES,CASCADE
CSL,"MINSON AVIATION, INC. D/B/A CALIFORNIA AIR SHUTTLE (OXNARD, CA)",UNITED STATES,CALIFORNIA SHUTTLE
CSM,"CSM SERVICIOS, S.A. DE C.V.",MEXICO,CSM SERVICIOS
CSN,CHINA SOUTHERN AIRLINES,CHINA,CHINA SOUTHERN
CSO,"CASINO AIRLINES, INC. (SHREVEPORT, LA)",UNITED STATES,CASAIR
CSP,"CASPER AIR SERVICE, INC.(CASPER, WY)",UNITED STATES,CASPER AIR
CSQ,"IBC AIRWAYS, INC. (MIAMI, FL)",UNITED STATES,CHASQUI
CSS,SF AIRLINES COMPANY LIMITED,CHINA,SHUN FENG
CST,"SHORELINE AVIATION, INC.",UNITED STATES,SHORELINE
CSV,COASTAL TRAVELS LIMITED,UNITED REPUBLIC OF TANZANIA,COASTAL TRAVEL
CSX,"CHOICE AIRWAYS, INC. (SUNRISE, FL)",UNITED STATES,CHOICE AIR
CSY,SHUANGYANG GENERAL AVIATION CO.,CHINA,SHUANGYANG
CSZ,SHENZHEN AIRLINES,CHINA,SHENZHEN AIR
CTA,"AERO CHARTER AND TRANSPORT (ALBUQUERQUE, NM)",UNITED STATES,CHAR-TRAN
CTB,THOMAS COOK AIRLINES BALEARICS S.L.,SPAIN,SUNNYHEART
CTD,"AEROCORPORATIVOS, S.A. DE C.V.",MEXICO,AEROCORPORATIVOS
CTE,"ATLANTA AIR CHARTER, INC.",UNITED STATES,CORNERSTONE
CTF,CUTTER AVIATION (PHOENIX AZ),UNITED STATES,CUTTER FLIGHT
CTG,CANADIAN COAST GUARD,CANADA,CANADIAN COAST GUARD
CTH,"EASTERN GENERAL AVIATION CO., LTD",CHINA,TONGHANG
CTJ,"TIANJIN AIR CARGO CO., LTD.",CHINA,TIANJIN CARGO
CTK,EAST MIDLANDS HELICOPTERS,UNITED KINGDOM,COSTOCK
CTL,"CENTRAL AIR SOUTHWEST, INC. (CUSHING, OK)",UNITED STATES,CENTRAL COMMUTER
CTM,COMMANDEMENT DU TRANSPORT AERIEN MILITAIRE FRANCAIS,FRANCE,COTAM
CTN,CROATIA AIRLINES,CROATIA,CROATIA
CTR,"AEROLINEAS CENTAURO, S.A. DE C.V.",MEXICO,CENTAURO
CTS,CHARTERS EJECUTIVOS SA DE CV,MEXICO,EXECUTIVE
CTT,"CUSTOM AIR TRANSPORT, INC. (DANIA, FL)",UNITED STATES,CATT
CTU,GLOBUS,RUSSIAN FEDERATION,CITYWINGS
CTV,CITILINK INDONESIA,INDONESIA,SUPERGREEN
CTW,CARGO THREE INC.,PANAMA,THIRD CARGO
CTY,"CRYDERMAN AIR SERVICE (DRAYTON PLAINS, MI)",UNITED STATES,CENTURY
CUA,"CHINA UNITED AIRLINES CO., LTD.",CHINA,CHINA UNITED
CUB,CUBANA DE AVIACION S.A.,CUBA,CUBANA
CUH,URUMQI AIRLINES CO. LTD.,CHINA,LOULAN
CUK,POLO AVIATION LTD,UNITED KINGDOM,CHUKKA
CUL,COULSON AVIATION USA,UNITED STATES,COULSON
CUO,"AEROCUAHONTE, S.A. DE C.V.",MEXICO,CUAHONTE
CUS,AUSTRALIAN CUSTOMS SERVICE - BORDER PROTECTION,AUSTRALIA,CUSTOM
CUT,COURT HELICOPTERS,SOUTH AFRICA,COURT AIR
CVA,AIR TRANSPORT (CHATHAM ISLANDS) LTD,NEW ZEALAND,CHATHAM
CVD,AVIATION CONSULTANTS INC.,UNITED STATES,
CVE,CABO VERDE EXPRESS,CABO VERDE,KABEX
CVF,"DASSAULT FALCON JET CORPORATION (S. HACKENSACK, NJ)",UNITED STATES,CLOVERLEAF
CVJ,"COMERCIALIZACION DE AVIACION EJECUTIVA, S.A. DE C.V.",MEXICO,COMEREJECUTIVA
CVK,CAVOK AIRLINES,UKRAINE,CARGO LINE
CVO,CENTER VOL S.A.,SPAIN,CENTERVOL
CVR,"CHEVRON U.S.A. (NEW ORLEANS, LA)",UNITED STATES,CHEVRON
CVS,CONVERS AVIA AIRLINE,RUSSIAN FEDERATION,CONVERS
CVU,"GRAND CANYON AIRLINES, INC. (GRAND CANYON, AZ)",UNITED STATES,CANYON VIEW
CVV,COMERCIAL DE AVIACION C.A. (COMERAVIA),VENEZUELA,COMERAVIA
CVX,CENTRO INDUSTRIAL AERONAUTICO C.A. (CIACA),VENEZUELA,CIACA
CVZ,AEROCARIBE AIRLINES,VENEZUELA,CARIBE
CWA,CAN WEST CORPORATE AIR CHARTERS LTD.,CANADA,CAN WEST
CWC,"CENTURION AIR CARGO, INC. (MIAMI, FL)",UNITED STATES,CHALLENGE CARGO
CWG,WING AVIATION,UNITED STATES,CLEAR WING
CWH,CANADIAN WARPLANE HERITAGE MUSEUM,CANADA,WARPLANE HERITAGE
CWL,CRANWELL FTU,UNITED KINGDOM,CRANWELL
CWM,AIR MARSHALL ISLANDS,MARSHALL ISLANDS,AIR MARSHALLS
CWN,CROWN AIRLINES,LIBYA,CROWN AIRLINES
CWR,"BEIJING CITY INTERNATIONAL BUSINESS JET CO., LTD.",CHINA,CITY WORLD
CWS,CRETAN WINGS,GREECE,CRETAN
CWX,"CROW EXECUTIVE AIR, INC. (MILLBURY, OH)",UNITED STATES,CROW EXPRESS
CWY,WOODGATE AVIATION (NI) LTD.,UNITED KINGDOM,CAUSEWAY
CWZ,"CAPITOL WINGS AIRLINE, INC. (AUSTIN, TX)",UNITED STATES,CAPWINGS
CXA,XIAMEN AIRLINES,CHINA,XIAMEN AIR
CXB,COMLUX ARUBA,NETHERLANDS,STARLUX
CXE,CAICOS EXPRESS AIRWAYS,UNITED KINGDOM,CAICOS
CXF,VCAP AVIATION LLC,UNITED STATES,CARDS FLIGHT
CXI,CORENDON AIRLINES EUROPE,MALTA,TOURISTIC
CXN,CHINA SOUTHERN AIRLINES XIONG AN AIRLINES COMPANY LIMITED,CHINA,STRONG AIR
CXS,"BOSTON-MAINE AIRWAYS (PORTSMOUTH, NH)",UNITED STATES,CLIPPER CONNECTION
CXT,"COASTAL AIR TRANSPORT (CHRISTIANSTED, ST. CROIX)",UNITED STATES,COASTAL
CYA,"CHEYENNE AIRWAYS, INC. (CHEYENNE, WY)",UNITED STATES,CHEYENNE AIR
CYE,ORDOS GENERAL AVIATION CO. LTD.,CHINA,SAKIRA
CYF,TUS AIRWAYS,CYPRUS,TUS AIR
CYG,"CORPORATION YGNUS AIR, S.A. (GESTAIR CARGO)",SPAIN,
CYH,CHINA SOUTHERN AIRLINES HENAN CO. LTD,CHINA,YUHAO
CYL,ALITALIA CITYLINER S.P.A.,ITALY,CITYLINER
CYN,"COLORFUL YUNNAN GENERAL AVIATION CO., LTD.",CHINA,COLOR JET
CYO,ATI JET INC,UNITED STATES,COYOTE
CYP,CYPRUS AIRWAYS,CYPRUS,CYPRUS
CYT,CRYSTAL AIR,UNITED STATES,CRYSTAL AIR
CYZ,CHINA POSTAL AIRLINES LTD,CHINA,CHINA POST
DAA,"DECATUR AVIATION, INC. (DECATUR, IL)",UNITED STATES,DECUR
DAB,DASSAULT AVIATION,FRANCE,
DAC,DOMINION AIR LTD.,NIGERIA,DOMINION AIR
DAD,AIR EXPRESS (PVT) LTD,PAKISTAN,DEWAN EXPRESS
DAE,"DHL AERO EXPRESO, S.A.",PANAMA,YELLOW
DAF,DANISH AIR FORCE,DENMARK,DANISH AIRFORCE
DAH,AIR ALGERIE,ALGERIA,AIR ALGERIE
DAI,DENA AIRWAYS,IRAN (ISLAMIC REPUBLIC OF),DENA
DAL,"DELTA AIR LINES, INC.",UNITED STATES,DELTA
DAN,DANA AIRLINES LIMITED,NIGERIA,DANACO
DAP,AEROVIAS DAP,CHILE,DAP
DAR,DANISH ARMY,DENMARK,DANISH ARMY
DAS,DELMUN AVIATION SERVICES,BAHRAIN,TYLOS
DAT,LYNX AIR (1263343 ALBERTA INC.),CANADA,DAUNTLESS
DAV,DORNIER AVIATION NIGERIA AIEP LTD,NIGERIA,DANA AIR
DAX,DIRECT AIR EXECUTIVE LTD,UNITED KINGDOM,
DAY,DAYA AVIATION (PVT) LTD,SRI LANKA,DAYA
DBA,"AIR ALPHA, INC. (CINCINNATI, OH)",UNITED STATES,DOUBLE-A
DBC,"GEMINI AIR GROUP, INC. (SCOTTSDALE, AZ)",UNITED STATES,DIAMOND BACK
DBJ,DUCHESS OF BRITTANY (JERSEY) LTD,UNITED KINGDOM,DUCHESS
DCA,"AEROTAXI DEL CARIBE, S. DE R.L. DE C.V.",MEXICO,DELCARIBE
DCC,CARIBBEAN AIR CARGO,BARBADOS,CARICARGO
DCD,AIR26 S.A.,ANGOLA,DUCARD
DCF,DC AVIATION AL-FUTTAIM LLC,UNITED ARAB EMIRATES,DESERT STAR
DCL,TRANSPORTES AEREOS DON CARLOS LTDA.,CHILE,DON CARLOS
DCM,"FLTPLAN, LLC (SOUTHBURY, CT)",UNITED STATES,DOT COM
DCN,"FEDERAL ARMED FORCES, FEDERAL REPUBLIC OF GERMANY",GERMANY,DIPLOMATIC CLEARANCE
DCO,DISTRIBUIDORA Y COMERCIALIZADORA JAZ SA DE CV,MEXICO,AEROJAZ
DCP,DELTA CONNECTION LIMITED,KENYA,NILECAT
DCS,"DC AVIATION GMBH, STUTTGART",GERMANY,TWIN STAR
DCT,DIRECT FLIGHT LTD,UNITED KINGDOM,AIRTASK
DCV,DISCOVERY AIRWAYS LIMITED,NIGERIA,DISCOVERYJET
DCW,DC AVIATION LTD.,MALTA,MALTA STAR
DCY,"INVERSIONES Y PROMOCIONES DUCOY, S.L.",SPAIN,DUCOY
DDA,"D & D AVIATION (SALT LAKE CITY, UT)",UNITED STATES,DUSTY
DDY,"SERVICIOS AEREOS DANDY, S.A. DE C.V.",MEXICO,DANDY
DEC,DECCAN CARGO & EXPRESS LOGISTICS PVT LTD,INDIA,DECCAN CARGO
DEE,"TRANSPORTATION AMERICA CORPORATION D/B/A DIXIE AIRWAYS (NASHVILLE, TN)",UNITED STATES,TACAIR
DEF,AVIATION DEFENSE SERVICE,FRANCE,TIRPA
DEI,ECOAIR,ALGERIA,
DEK,AVIASTAR,BELARUS,DEK AERO
DEM,"DESTILADORA DE ALCOHOLES Y MIELES, S.A. DE C.V.",MEXICO,DESTILA MIELES
DEN,SAS DANMARK A/S,DENMARK,
DER,DEER JET CO. LTD,CHINA,DEER JET
DES,"SERVICIOS AEREOS ESPECIALIZADOS DESTINIA, S.A. DE C.V.",MEXICO,DESTINIA
DEV,RED DEVILS PARACHUTE DISPLAY TEAM,UNITED KINGDOM,RED DEVILS
DEX,"ASIAN AIR CO., LTD",THAILAND,ASIAN AIR
DFA,AEROBILITY,UNITED KINGDOM,ABLE
DFC,AEROPARTNER A.S.,CZECHIA,DARK BLUE
DFL,BABCOCK SCANDINAVIAN AIRAMBULANCE AB,SWEDEN,MEDIFLIGHT
DFS,"DWYER AIRCRAFT SALES, INC. (MASON CITY, IA)",UNITED STATES,DWYAIR
DGA,"YELLOW RIVER DELTA GENERAL AVIATION CO., LTD",CHINA,YELLOW RIVER
DGC,SERVICIO AEREO DE LA GUARDIA CIVIL,SPAIN,
DGO,"DGO JET, S.A. DE C.V.",MEXICO,DGO JET
DGP,CUERPO NACIONAL DE POLICIA,SPAIN,
DGT,"DIGITAL EQUIPMENT CORPORATION (MAYNARD, MA)",UNITED STATES,DIGITAL
DGX,DASNAIR SA,SWITZERLAND,DASNA
DHA,DHL AIR AUSTRIA,AUSTRIA,YELLOW TAIL
DHC,DE HAVILLAND AIRCRAFT OF CANADA LTD,CANADA,DEHAVILLAND
DHE,DAP HELICOPTEROS LTDA.,CHILE,HELIDAP
DHK,DHL AIR LIMITED,UNITED KINGDOM,WORLD EXPRESS
DHL,"ASTAR AIR CARGO (MIAMI, FL)",UNITED STATES,DAHL
DHR,"CREAMER PILOT SERVICES, LLC",UNITED STATES,DARK HORSE
DHV,DHL AVIATION (PTY) LTD,SOUTH AFRICA,WORLDSTAR
DHX,DHL AVIATION EEMEA B.S.C.(C),BAHRAIN,DILMUN
DIA,"DIRECT AIR, INC.",UNITED STATES,BLUE SKY
DIC,"AEROMEDICA, S.A. DE C.V.",MEXICO,AEROMEDICA
DIG,DAC INTERNATIONAL AIRLINES LTD,GHANA,DAC AIR
DIR,AERRO DIREKT,ROMANIA,DIREKT WINGS
